 ,Label,Area,Mean,StdDev,Min,Max,Slice
127,22946173.tif:Blue,394,255,0,255,255,3
128,22946173.tif:Blue,349,255,0,255,255,3
129,22946173.tif:Blue,355,255,0,255,255,3
130,22946173.tif:Blue,321,255,0,255,255,3
131,22946173.tif:Blue,185,255,0,255,255,3
132,22946173.tif:Blue,431,255,0,255,255,3
133,22946173.tif:Blue,241,255,0,255,255,3
134,22946173.tif:Blue,163,255,0,255,255,3
135,22946173.tif:Blue,265,255,0,255,255,3
136,22946173.tif:Blue,278,255,0,255,255,3
137,22946173.tif:Blue,381,255,0,255,255,3
138,22946173.tif:Blue,395,255,0,255,255,3
139,22946173.tif:Blue,279,255,0,255,255,3
140,22946173.tif:Blue,337,255,0,255,255,3
141,22946173.tif:Blue,286,255,0,255,255,3
142,22946173.tif:Blue,453,255,0,255,255,3
143,22946173.tif:Blue,389,255,0,255,255,3
144,22946173.tif:Blue,431,255,0,255,255,3
145,22946173.tif:Blue,441,255,0,255,255,3
146,22946173.tif:Blue,480,255,0,255,255,3
147,22946173.tif:Blue,391,255,0,255,255,3
148,22946173.tif:Blue,320,255,0,255,255,3
149,22946173.tif:Blue,326,255,0,255,255,3
150,22946173.tif:Blue,232,255,0,255,255,3
151,22946173.tif:Blue,328,255,0,255,255,3
152,22946173.tif:Blue,301,255,0,255,255,3
153,22946173.tif:Blue,427,255,0,255,255,3
154,22946173.tif:Blue,416,255,0,255,255,3
155,22946173.tif:Blue,290,255,0,255,255,3
156,22946173.tif:Blue,323,255,0,255,255,3
157,22946173.tif:Blue,494,255,0,255,255,3
158,22946173.tif:Blue,289,255,0,255,255,3
159,22946173.tif:Blue,318,255,0,255,255,3
160,22946173.tif:Blue,372,255,0,255,255,3
161,22946173.tif:Blue,388,255,0,255,255,3
162,22946173.tif:Blue,392,255,0,255,255,3
163,22946173.tif:Blue,410,255,0,255,255,3
164,22946173.tif:Blue,338,255,0,255,255,3
165,22946173.tif:Blue,344,255,0,255,255,3
166,22946173.tif:Blue,373,255,0,255,255,3
167,22946173.tif:Blue,275,255,0,255,255,3
168,22946173.tif:Blue,256,255,0,255,255,3
169,22946173.tif:Blue,385,255,0,255,255,3
170,22946173.tif:Blue,371,255,0,255,255,3
171,22946173.tif:Blue,330,255,0,255,255,3
172,22946173.tif:Blue,264,255,0,255,255,3
173,22946173.tif:Blue,389,255,0,255,255,3
174,22946173.tif:Blue,219,255,0,255,255,3
175,22946173.tif:Blue,325,255,0,255,255,3
176,22946173.tif:Blue,373,255,0,255,255,3
177,22946173.tif:Blue,359,255,0,255,255,3
178,22946173.tif:Blue,414,255,0,255,255,3
179,22946173.tif:Blue,387,255,0,255,255,3
180,22946173.tif:Blue,385,255,0,255,255,3
181,22946173.tif:Blue,426,255,0,255,255,3
182,22946173.tif:Blue,490,255,0,255,255,3
183,22946173.tif:Blue,372,255,0,255,255,3
184,22946173.tif:Blue,362,255,0,255,255,3
185,22946173.tif:Blue,452,255,0,255,255,3
186,22946173.tif:Blue,237,255,0,255,255,3
187,22946173.tif:Blue,400,255,0,255,255,3
188,22946173.tif:Blue,380,255,0,255,255,3
189,22946173.tif:Blue,271,255,0,255,255,3
190,22946173.tif:Blue,476,255,0,255,255,3
191,22946173.tif:Blue,309,255,0,255,255,3
192,22946173.tif:Blue,424,255,0,255,255,3
193,22946173.tif:Blue,365,255,0,255,255,3
194,22946173.tif:Blue,363,255,0,255,255,3
195,22946173.tif:Blue,260,255,0,255,255,3
196,22946173.tif:Blue,293,255,0,255,255,3
197,22946173.tif:Blue,353,255,0,255,255,3
198,22946173.tif:Blue,236,255,0,255,255,3
199,22946173.tif:Blue,335,255,0,255,255,3
200,22946173.tif:Blue,347,255,0,255,255,3
201,22946173.tif:Blue,322,255,0,255,255,3
202,22946173.tif:Blue,489,255,0,255,255,3
203,22946173.tif:Blue,249,255,0,255,255,3
204,22946173.tif:Blue,385,255,0,255,255,3
205,22946173.tif:Blue,337,255,0,255,255,3
206,22946173.tif:Blue,448,255,0,255,255,3
207,22946173.tif:Blue,258,255,0,255,255,3
208,22946173.tif:Blue,384,255,0,255,255,3
209,22946173.tif:Blue,412,255,0,255,255,3
210,22946173.tif:Blue,354,255,0,255,255,3
211,22946173.tif:Blue,324,255,0,255,255,3
212,22946173.tif:Blue,397,255,0,255,255,3
213,22946173.tif:Blue,368,255,0,255,255,3
214,22946173.tif:Blue,308,255,0,255,255,3
215,22946173.tif:Blue,355,255,0,255,255,3
216,22946173.tif:Blue,251,255,0,255,255,3
217,22946173.tif:Blue,273,255,0,255,255,3
218,22946173.tif:Blue,298,255,0,255,255,3
219,22946173.tif:Blue,328,255,0,255,255,3
220,22946173.tif:Blue,442,255,0,255,255,3
221,22946173.tif:Blue,272,255,0,255,255,3
222,22946173.tif:Blue,256,255,0,255,255,3
223,22946173.tif:Blue,340,255,0,255,255,3
224,22946173.tif:Blue,250,255,0,255,255,3
225,22946173.tif:Blue,432,255,0,255,255,3
226,22946173.tif:Blue,257,255,0,255,255,3
227,22946173.tif:Blue,316,255,0,255,255,3
228,22946173.tif:Blue,484,255,0,255,255,3
229,22946173.tif:Blue,421,255,0,255,255,3
230,22946173.tif:Blue,214,255,0,255,255,3
231,22946173.tif:Blue,283,255,0,255,255,3
232,22946173.tif:Blue,260,255,0,255,255,3
233,22946173.tif:Blue,290,255,0,255,255,3
234,22946173.tif:Blue,363,255,0,255,255,3
235,22946173.tif:Blue,361,255,0,255,255,3
236,22946173.tif:Blue,397,255,0,255,255,3
237,22946173.tif:Blue,356,255,0,255,255,3
238,22946173.tif:Blue,277,255,0,255,255,3
239,22946173.tif:Blue,373,255,0,255,255,3
240,22946173.tif:Blue,374,255,0,255,255,3
241,22946173.tif:Blue,314,255,0,255,255,3
242,22946173.tif:Blue,403,255,0,255,255,3
